Index Holdings and weightings as of 5:38 PM ET 01/08/2025,,,,,,,
Symbol,Company Name,Index Weight,Last,Change,%Change,Volume,52 Week Range
NXPI,NXP Semiconductor NV,0.57%,209.72,-2.86,-1.35%,2.3 M,201.58 - 296.08
FICO,Fair Isaac & Co Inc,0.51%,1964.42,+29.26,+1.51%,0.17 M,1105.65 - 2402.52
TEL,TE Connectivity plc,0.46%,143.70,-0.06,-0.04%,1.43 M,128.52 - 159.98
IT,Gartner Inc,0.41%,495.44,+3.96,+0.81%,0.41 M,411.15 - 559.00
CTSH,Cognizant Tech Solutions Corp,0.40%,76.02,+0.40,+0.53%,2.41 M,63.79 - 82.46
GLW,Corning Inc,0.39%,47.73,-0.12,-0.25%,2.98 M,29.71 - 51.03
DELL,Dell Technologies Inc-C,0.39%,119.31,-1.96,-1.62%,5.14 M,76.90 - 179.70
HPQ,HP Inc,0.34%,33.45,-0.22,-0.65%,4.89 M,27.43 - 39.80
MPWR,Monolithic Power Systems,0.32%,620.96,-3.91,-0.63%,0.35 M,546.71 - 959.64
MCHP,Microchip Technology Inc,0.32%,56.38,-1.09,-1.90%,6.23 M,55.27 - 100.57
ANSS,ANSYS Inc,0.32%,343.47,+7.61,+2.27%,0.97 M,289.82 - 363.03
KEYS,Keysight Technologies Inc,0.31%,164.89,-1.24,-0.75%,0.67 M,119.72 - 175.39
HPE,Hewlett Packard Enterprise Co,0.31%,22.03,-0.25,-1.12%,14.52 M,14.47 - 24.24
GDDY,GoDaddy Inc A,0.30%,197.14,+1.57,+0.80%,0.77 M,102.60 - 211.11
ON,On Semiconductor Corp,0.26%,58.31,-4.42,-7.05%,14.87 M,57.96 - 85.16
TYL,Tyler Technologies Inc,0.26%,575.22,+11.68,+2.07%,0.21 M,397.80 - 638.56
NTAP,NetApp Inc,0.26%,118.09,+0.91,+0.78%,1.12 M,83.80 - 135.45
CDW,CDW Corp,0.26%,181.34,+0.36,+0.20%,1.47 M,168.43 - 263.37
TER,Teradyne Inc,0.24%,137.15,-1.67,-1.20%,2.18 M,92.29 - 163.21
PTC,PTC Inc,0.24%,184.36,+1.27,+0.69%,0.49 M,163.30 - 203.09
WDC,Western Digital Corp,0.24%,64.06,-0.81,-1.25%,4.62 M,48.96 - 81.55
TDY,Teledyne Technologies Inc,0.23%,461.96,+3.18,+0.69%,0.17 M,355.41 - 492.00
ZBRA,Zebra Technologies Corp,0.22%,397.00,+0.89,+0.22%,0.41 M,233.95 - 413.44
FSLR,First Solar Inc,0.22%,191.13,-6.60,-3.34%,1.78 M,135.88 - 306.77
STX,Seagate Technology,0.20%,88.69,-0.91,-1.02%,3.19 M,79.39 - 115.32
TRMB,Trimble Inc,0.19%,72.54,+0.52,+0.72%,1.15 M,48.60 - 76.97
VRSN,VeriSign Inc,0.19%,211.67,+2.45,+1.17%,0.77 M,167.05 - 213.68
JBL,Jabil Inc,0.19%,153.95,+1.22,+0.80%,1.12 M,95.85 - 156.94
SMCI,Super Micro Computer Inc,0.18%,32.61,-1.77,-5.15%,25.9 M,17.25 - 122.90
FFIV,"F5, Inc.",0.16%,258.84,+1.55,+0.60%,0.43 M,159.01 - 264.50
SWKS,Skyworks Solutions Inc,0.16%,92.63,-0.03,-0.03%,2.45 M,82.13 - 120.86
GEN,Gen Digital Inc.,0.16%,27.11,+0.13,+0.48%,3.37 M,19.08 - 31.72
AKAM,Akamai Technologies Inc,0.15%,93.36,+0.82,+0.89%,1.79 M,84.70 - 129.17
EPAM,EPAM Systems Inc,0.14%,228.51,+0.06,+0.03%,0.4 M,169.43 - 317.50
JNPR,Juniper Networks Inc,0.14%,38.37,+0.06,+0.16%,3.03 M,34.30 - 39.79
ENPH,Enphase Energy Inc,0.10%,69.66,-3.85,-5.24%,2.82 M,58.33 - 141.63
